code,meigara,kana,kuramoto,ken,shi,address¥n1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
2502,太平記の里,たいへいきのさと,山崎酒造,群馬県,太田市,群馬県太田市新田木崎町966
2503,日本譽,にほんほまれ,山崎酒造,群馬県,太田市,群馬県太田市新田木崎町966
2504,誠の心,まことのこころ,山崎酒造,群馬県,太田市,群馬県太田市新田木崎町966
1499,利根川育ち,とねがわそだち,山川酒造,群馬県,邑楽郡,群馬県邑楽郡千代田町赤岩185-3
1498,光東,こうとう,山川酒造,群馬県,邑楽郡,群馬県邑楽郡千代田町赤岩185-3
2494,泉末広,いずみすえひろ,岡村合名,群馬県,高崎市,群馬県高崎市台町5
2493,観音桜,かんのんさくら,岡村合名,群馬県,高崎市,群馬県高崎市台町5
2195,朝日桜,あさひざくら,美峰酒類,群馬県,高崎市,群馬県高崎市歌川町1
2196,蔵自慢,くらじまん,美峰酒類,群馬県,高崎市,群馬県高崎市歌川町1
1570,太平人,たいへいじん,町田酒造店,群馬県,佐波郡,群馬県佐波郡玉村町下新田619
1543,ふじ泉,,井田酒造,群馬県,佐波郡,群馬県佐波郡玉村町上新田1626
2497,鬼面山,きめんざん,藤崎摠兵衛商店 鬼石支店,群馬県,藤岡市,群馬県鬼石支店〒370-1401 群馬県
2498,寒桜,かんざくら,藤崎摠兵衛商店 鬼石支店,群馬県,藤岡市,群馬県鬼石支店〒370-1401 群馬県
1493,妙義山,みょうぎさん,聖徳銘醸,群馬県,甘楽郡,群馬県甘楽郡甘楽町白倉686-1
1492,聖徳,せいとく,聖徳銘醸,群馬県,甘楽郡,群馬県甘楽郡甘楽町白倉686-1
3653,蔵群,くらむれ,聖徳銘醸,群馬県,甘楽郡,群馬県甘楽郡甘楽町白倉686-1
1494,城下町小幡,じょうかまちおばた,聖徳銘醸,群馬県,甘楽郡,群馬県甘楽郡甘楽町白倉686-1
1914,夢二ものがたり,ゆめじものがたり,牧野酒造,群馬県,高崎市,群馬県高崎市倉渕町権田2625-1
98,大盃,おおさかずき,牧野酒造,群馬県,高崎市,群馬県高崎市倉渕町権田2625-1
3805,馥露酣,ふくろかん,牧野酒造,群馬県,高崎市,群馬県高崎市倉渕町権田2625-1
1915,榛名山,はるなさん,牧野酒造,群馬県,高崎市,群馬県高崎市倉渕町権田2625-1
3806,高崎,たかさき,牧野酒造,群馬県,高崎市,群馬県高崎市倉渕町権田2625-1
1298,船尾瀧,ふなおたき,柴崎酒造,群馬県,北群馬郡,群馬県北群馬郡吉岡町下野田649-1
465,聖人,せいじん,伴内酒造店,群馬県,前橋市,群馬県前橋市
466,桂川,かつらがわ,柳澤酒造,群馬県,前橋市,群馬県前橋市粕川町深津104-2
467,勝楽雅和,かつらがわ,柳澤酒造,群馬県,前橋市,群馬県前橋市粕川町深津104-2
3646,絶滅危惧酒,ぜつめつきぐしゅ,柳澤酒造,群馬県,前橋市,群馬県前橋市粕川町深津104-2
1471,結人,むすびと,柳澤酒造,群馬県,前橋市,群馬県前橋市粕川町深津104-2
464,暴れ獅子,あばれじし,七ツ星醸造,群馬県,前橋市,群馬県前橋市大胡町12
463,君乃松,きみのまつ,七ツ星醸造,群馬県,前橋市,群馬県前橋市大胡町12
2505,利根鶴,とねつる,太刀川酒造,群馬県,太田市,群馬県太田市
474,群馬泉,ぐんまいずみ,島岡酒造,群馬県,太田市,群馬県太田市由良町375-2
1910,神龍,しんりゅう,今井酒造店,群馬県,太田市,群馬県太田市鳥山中町746-2
1911,むつらぼし,むつらぼし,今井酒造店,群馬県,太田市,群馬県太田市鳥山中町746-2
1909,新田山,にいたやま,今井酒造店,群馬県,太田市,群馬県太田市鳥山中町746-2
1908,風まかせ,かぜまかせ,今井酒造店,群馬県,太田市,群馬県太田市鳥山中町746-2
1127,男一心,おとこいっしん,分福酒造,群馬県,館林市,群馬県館林市仲町3-15
1149,分福,ぶんぶく,分福酒造,群馬県,館林市,群馬県館林市仲町3-15
473,尾瀬の雪どけ,おぜのゆきどけ,龍神酒造,群馬県,館林市,群馬県館林市西本町7-13
1622,龍神,りゅうじん,龍神酒造,群馬県,館林市,群馬県館林市西本町7-13
2501,榮万寿,,清水屋酒造,群馬県,館林市,群馬県館林市台宿町3-10
1162,平井城,ひらいじょう,松屋酒造,群馬県,藤岡市,群馬県藤岡市藤岡180
2496,流輝,るか,松屋酒造,群馬県,藤岡市,群馬県藤岡市藤岡180
468,當選,とうせん,松屋酒造,群馬県,藤岡市,群馬県藤岡市藤岡180
2495,ねむり酒,ねむりざけ,松屋酒造,群馬県,藤岡市,群馬県藤岡市藤岡180
1544,三波石,さんばせき,田島酒造店,群馬県,藤岡市,群馬県藤岡市神田899
1754,巌,いわお,高井,群馬県,藤岡市,群馬県藤岡市鮎川138
100,起龍,きりゅう,奥村酒造,群馬県,みどり市,群馬県みどり市
3308,福榮,,奥村酒造,群馬県,みどり市,群馬県みどり市
3309,上州っ子,じょうしゅうっこ,奥村酒造,群馬県,みどり市,群馬県みどり市
101,赤城山,あかぎさん,近藤酒造,群馬県,みどり市,群馬県みどり市大間々町大間々1002
3106,入駒,いりこま,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
2954,駒正宗,こままさむね,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
2958,からっ風,からっかぜ,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
2957,酒屋 傳兵衛,さかや でんべえ,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
2956,聖,ひじり,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
2955,木曽川,きそがわ,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
1146,関東の華,かんとうのはな,聖酒造,群馬県,渋川市,群馬県渋川市北橘町下箱田380
469,貴娘,きむすめ,貴娘酒造,群馬県,吾妻郡,群馬県吾妻郡中之条町大塚1768-2
2962,風の詩,かぜのうた,貴娘酒造,群馬県,吾妻郡,群馬県吾妻郡中之条町大塚1768-2
2963,牧水の詩,ぼくすいのうた,貴娘酒造,群馬県,吾妻郡,群馬県吾妻郡中之条町大塚1768-2
2959,咲耶美,さくやび,貴娘酒造,群馬県,吾妻郡,群馬県吾妻郡中之条町大塚1768-2
1383,秘幻,ひげん,浅間酒造,群馬県,吾妻郡,群馬県吾妻郡長野原町長野原30-8
2961,草津節,くさつぶし,浅間酒造,群馬県,吾妻郡,群馬県吾妻郡長野原町長野原30-8
2960,つま恋美人,つまごいびじん,浅間酒造,群馬県,吾妻郡,群馬県吾妻郡長野原町長野原30-8
1470,浅間山,あさまやま,浅間酒造,群馬県,吾妻郡,群馬県吾妻郡長野原町長野原30-8
470,利根錦,とねにしき,永井本家,群馬県,沼田市,群馬県沼田市下発知町703
2500,尾瀬のあわ雪,おぜのあわゆき,永井本家,群馬県,沼田市,群馬県沼田市下発知町703
2499,誉国光,ほまれこっこう,土田酒造,群馬県,利根郡,群馬県利根郡川場村川場湯原2691
2864,土田,つちだ,土田酒造,群馬県,利根郡,群馬県利根郡川場村川場湯原2691
99,水芭蕉,みずばしょう,永井酒造,群馬県,利根郡,群馬県利根郡川場村門前713
472,谷川岳,たにがわだけ,永井酒造,群馬県,利根郡,群馬県利根郡川場村門前713
3643,花一匁,はないちもんめ,大利根酒造,群馬県,沼田市,群馬県沼田市白沢町高平1306-2
3285,沼田城,ぬまたじょう,大利根酒造,群馬県,沼田市,群馬県沼田市白沢町高平1306-2
471,左大臣,さだいじん,大利根酒造,群馬県,沼田市,群馬県沼田市白沢町高平1306-2
461,赤城の寒梅,あかぎのかんばい,森本酒造,群馬県,前橋市,群馬県前橋市
462,自然酒,しぜんしゅ,森本酒造,群馬県,前橋市,群馬県前橋市
460,黒松正泉,くろまつまさいずみ,森本酒造,群馬県,前橋市,群馬県前橋市
1407,清りょう,せいりょう,町田酒造店,群馬県,前橋市,群馬県前橋市駒形町65
1569,町田酒造,まちだしゅぞう,町田酒造店,群馬県,前橋市,群馬県前橋市駒形町65
446,かっぱ桜,かっぱざくら,賜杯桜酒造,茨城県,取手市,茨城県取手市和田1010
442,霧筑波,きりつくば,浦里酒造店,茨城県,つくば市,茨城県つくば市吉沼982
1157,一人娘,ひとりむすめ,山中酒造店,茨城県,常総市,茨城県常総市新石下187
2410,紬美人,つむぎびじん,野村醸造,茨城県,常総市,茨城県常総市本石下2052
2935,神仙,しんせん,稲葉酒造場,茨城県,つくば市,茨城県つくば市沼田1485
2405,すてら,すてら,稲葉酒造場,茨城県,つくば市,茨城県つくば市沼田1485
2404,男女川,みなのがわ,稲葉酒造場,茨城県,つくば市,茨城県つくば市沼田1485
1388,公明,こうめい,村井醸造,茨城県,桜川市,茨城県桜川市真壁町真壁72
2407,真壁,まかべ,村井醸造,茨城県,桜川市,茨城県桜川市真壁町真壁72
2408,花の井,はなのい,西岡本店,茨城県,桜川市,茨城県桜川市真壁町田6-1
2409,海世紀,かいせいき,西岡本店,茨城県,桜川市,茨城県桜川市真壁町田6-1
2406,正気,せいき,軽部酒造店,茨城県,桜川市,茨城県桜川市真壁町東矢貝590
3737,筑西,ちくせい,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
3035,魔愚魔,まぐま,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
3036,桐の華,きりのはな,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
3659,秀緑,しゅうろく,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
1160,真向勝負,まっこうしょうぶ,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
447,来福,らいふく,来福酒造,茨城県,筑西市,茨城県筑西市村田1626
2400,牡丹正宗,ぼたんまさむね,岡田酒造店,茨城県,龍ケ崎市,茨城県龍ケ崎市光順田2920-1
2402,君萬代,きみばんだい,田中酒造店,茨城県,取手市,茨城県取手市取手2-13-35
2401,金門,きんもん,金門酒造,茨城県,取手市,茨城県取手市青柳65
91,京の夢,きょうのゆめ,竹村酒造店,茨城県,常総市 ,茨城県常総市
3277,富士龍,ふじりゅう,竹村酒造店,茨城県,常総市 ,茨城県常総市
3278,瑠璃,るり,竹村酒造店,茨城県,常総市 ,茨城県常総市
3279,やわら三万石,やわらさんまんごく,竹村酒造店,茨城県,常総市 ,茨城県常総市
2415,十大,じゅうだい,青木酒造,茨城県,古河市,茨城県古河市本町2-15-11
2414,御慶事,ごけいじ,青木酒造,茨城県,古河市,茨城県古河市本町2-15-11
2416,徳正宗,とくまさむね,萩原酒造,茨城県,猿島郡,茨城県猿島郡境町565-1
1124,秀緑,しゅうろく,大塚酒造,茨城県,坂東市,茨城県坂東市
448,武勇,ぶゆう,武勇,茨城県,結城市,茨城県結城市結城144
2411,結,ゆい,結城酒造,茨城県,結城市,茨城県結城市結城1589
2412,富久福,ふくふく,結城酒造,茨城県,結城市,茨城県結城市結城1589
2413,つむぎ娘,つむぎむすめ,結城酒造,茨城県,結城市,茨城県結城市結城1589
2389,桜川,さくらがわ,堀川酒造店,茨城県,桜川市,茨城県桜川市岩瀬178-1
2388,東海,とうかい,武藤酒類醸造,茨城県,笠間市,茨城県笠間市笠間1180
88,二波山松緑,ふたばさんまつみどり,笹目宗兵衛商店,茨城県,笠間市,茨城県笠間市笠間1339
87,稲里,いなさと,磯蔵酒造,茨城県,笠間市,茨城県笠間市稲田2281-1
1081,郷乃誉,さとのほまれ,須藤本家,茨城県,笠間市,茨城県笠間市小原2125
2387,瀧紅葉,たきもみじ, 瀧田酒造店,茨城県,水戸市,茨城県瀧田酒造店〒310-0031 茨城県
2386,三ツ扇,みつおうぎ, 瀧田酒造店,茨城県,水戸市,茨城県瀧田酒造店〒310-0031 茨城県
1314,一品,いっぴん,吉久保酒造,茨城県,水戸市,茨城県水戸市本町3-9-5
2736,百歳,ひゃくさい,吉久保酒造,茨城県,水戸市,茨城県水戸市本町3-9-5
3612,水府自慢,すいふじまん,明利酒類,茨城県,水戸市,茨城県水戸市元吉田町338
3714,瑞鳳紫山,ずいほうしざん,明利酒類,茨城県,水戸市,茨城県水戸市元吉田町338
427,副将軍,ふくしょうぐん,明利酒類,茨城県,水戸市,茨城県水戸市元吉田町338
2365,小倉山,おぐらやま,明利酒類,茨城県,水戸市,茨城県水戸市元吉田町338
3494,木内,きうち,木内酒造,茨城県,那珂市,茨城県那珂市鴻巣1257
90,菊盛,きくさかり,木内酒造,茨城県,那珂市,茨城県那珂市鴻巣1257
2391,光圀,みつくに,檜山酒造,茨城県,常陸太田市,茨城県常陸太田市
2392,千姫,せんひめ,檜山酒造,茨城県,常陸太田市,茨城県常陸太田市
2393,朝日正宗,あさひまさむね,檜山酒造,茨城県,常陸太田市,茨城県常陸太田市
2394,日乃出鶴,ひのでつる,井坂酒造店,茨城県,常陸太田市,茨城県常陸太田市小中町187
433,東魁山,とうかいざん,東魁酒造,茨城県,常陸太田市,茨城県常陸太田市
1347,月の井,つきのい,月の井酒造店,茨城県,東茨城郡,茨城県東茨城郡大洗町磯浜町638
3271,友寿,ともじゅ,愛友酒造,茨城県,潮来市,茨城県潮来市辻205
439,愛友,あいゆう,愛友酒造,茨城県,潮来市,茨城県潮来市辻205
3270,霰降,あられふり,愛友酒造,茨城県,潮来市,茨城県潮来市辻205
2398,文華,ぶんか,遠峰酒造,茨城県,潮来市,茨城県潮来市潮来209
1395,幾久一,きくいち,伊能酒造店,茨城県,小美玉市,茨城県小美玉市
2399,東竹乃葉,あずまたけのは,竹乃葉酒造,茨城県,行方市,茨城県行方市四鹿30
3736,穂内郷,ほないごう,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
1343,黄門ばやし,こうもんばやし,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3829,金波寒月,きんぱかんげつ,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3830,竜神バンジー,りゅうじんばんじー,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3831,岡部,おかべ,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3832,ご縁だね,ごえんだね,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3833,昼下がりのランデヴー,ひるさがりのらんでゔー,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
3834,悪代官,あくだいかん,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
1344,助さん格さん,すけさんかくさん,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
2765,茨苑,しえん,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
1342,松盛,まつざかり,岡部合名,茨城県,常陸太田市,茨城県常陸太田市小沢町2335
2390,剛烈,ごうれつ,剛烈富永酒造店,茨城県,常陸太田市,茨城県常陸太田市大里町3401
3441,順子,じゅんこ,剛烈富永酒造店,茨城県,常陸太田市,茨城県常陸太田市大里町3401
429,富久酔,ふくよい,太田銘醸,茨城県,常陸太田市,茨城県常陸太田市松平町1074
3173,さきがけ,さきがけ,府中誉,茨城県,石岡市,茨城県石岡市国府5-9-32
443,渡舟,わたりぶね,府中誉,茨城県,石岡市,茨城県石岡市国府5-9-32
444,太平海,たいへいかい,府中誉,茨城県,石岡市,茨城県石岡市国府5-9-32
1138,府中誉,ふちゅうほまれ,府中誉,茨城県,石岡市,茨城県石岡市国府5-9-32
2791,いしおか恋瀬姫,いしおかこいせひめ,石岡酒造,茨城県,石岡市,茨城県石岡市東大橋2972
2785,白鹿,はくしか,石岡酒造,茨城県,石岡市,茨城県石岡市東大橋2972
1142,寿山,じゅざん,石岡酒造,茨城県,石岡市,茨城県石岡市東大橋2972
1141,筑波,つくば,石岡酒造,茨城県,石岡市,茨城県石岡市東大橋2972
1143,酔鶴,よいづる,石岡酒造,茨城県,石岡市,茨城県石岡市東大橋2972
2786,オヤジナカセ,おやじなかせ,白菊酒造,茨城県,石岡市,茨城県石岡市高浜880　白菊酒造
441,つくばの紅梅一輪,つくばのこうばいいちりん,白菊酒造,茨城県,石岡市,茨城県石岡市高浜880　白菊酒造
440,白菊,しらぎく,白菊酒造,茨城県,石岡市,茨城県石岡市高浜880　白菊酒造
2403,富士泉,ふじいずみ,藤田酒造店,茨城県,石岡市,茨城県石岡市井関994-1
434,恵泉,けいせん,嶋崎酒造,茨城県,日立市,茨城県日立市鮎川町4-2-8
435,玉の雫,たまのしずく,嶋崎酒造,茨城県,日立市,茨城県日立市鮎川町4-2-8
3360,Any.,えにぃ,宏和商工 日立酒造工場,茨城県,日立市,茨城県日立酒造工場〒319-1304 茨城県
2395,二人舞台,ふたりぶたい,宏和商工 日立酒造工場,茨城県,日立市,茨城県日立酒造工場〒319-1304 茨城県
3706,十王蔵,じゅうおうぐら,宏和商工 日立酒造工場,茨城県,日立市,茨城県日立酒造工場〒319-1304 茨城県
1315,富久心,ふくごころ,椎名酒造店,茨城県,日立市,茨城県日立市十王町高原411
438,大観,たいかん,森島酒造,茨城県,日立市,茨城県日立市川尻町1-17-7
3711,日立盛,ひたちざかり,森島酒造,茨城県,日立市,茨城県日立市川尻町1-17-7
2397,天心抄,てんしんしょう,住の友酒造,茨城県,北茨城市,茨城県北茨城市平潟町465
2396,住の友,すみのとも,住の友酒造,茨城県,北茨城市,茨城県北茨城市平潟町465
89,酔富,すいふ,酔富銘醸,茨城県,常陸大宮市,茨城県常陸大宮市
437,久慈の山,くじのやま,根本酒造,茨城県,常陸大宮市,茨城県常陸大宮市
3071,カミマル,かみまる,根本酒造,茨城県,常陸大宮市,茨城県常陸大宮市
3592,清香酒,せいこうしゅ,珂北酒造,茨城県,久慈郡,茨城県久慈郡大子町内大野1887
3591,月居姫,つきおれひめ,珂北酒造,茨城県,久慈郡,茨城県久慈郡大子町内大野1887
3590,袋田紀行,ふくろだきこう,珂北酒造,茨城県,久慈郡,茨城県久慈郡大子町内大野1887
3589,旭桜,あさひざくら,珂北酒造,茨城県,久慈郡,茨城県久慈郡大子町内大野1887
432,四度の瀧,よどのたき,家久長本店,茨城県,久慈郡,茨城県久慈郡大子町大子248-1
430,家久長,かくちょう,家久長本店,茨城県,久慈郡,茨城県久慈郡大子町大子248-1
431,霊水八溝,れいすいやみぞ,家久長本店,茨城県,久慈郡,茨城県久慈郡大子町大子248-1
1672,鷲泉,わしいづみ,大瀧酒造,埼玉県,さいたま市,埼玉県さいたま市見沼区膝子663
475,九重桜,ここのえざくら,大瀧酒造,埼玉県,さいたま市,埼玉県さいたま市見沼区膝子663
2942,武蔵之国一之宮 鬼ころし,むさしのくにいちのみや おにころし,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
1878,くらのすけ,くらのすけ,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
1879,大五郎,だいごろう,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
2506,金紋世界鷹,きんもんせかいたか,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
445,賜杯桜,しはいざくら,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
2508,都鷹,みやこたか,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
2509,米一途,こめいちず,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
2507,武蔵男山,むさしおとこやま,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
2770,二八,にはち,小山本家酒造,埼玉県,さいたま市,埼玉県さいたま市西区指扇1798
1564,旭正宗,あさひまさむね,内木酒造,埼玉県,さいたま市,埼玉県さいたま市桜区西堀6-13-15
3720,​鳳翔閣,ほうしょうかく,内木酒造,埼玉県,さいたま市,埼玉県さいたま市桜区西堀6-13-15
2531,大手門,おおてもん,鈴木酒造,埼玉県,さいたま市,埼玉県さいたま市岩槻区本町4-8-24
2530,瑞薫,ずいくん,鈴木酒造,埼玉県,さいたま市,埼玉県さいたま市岩槻区本町4-8-24
2529,万両,まんりょう,鈴木酒造,埼玉県,さいたま市,埼玉県さいたま市岩槻区本町4-8-24
3018,健誠,,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3016,権現桜,ごんげんざくら,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3017,花あかり,はなあかり,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3019,彩の原石 幸,さいのげんせき さち,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3021,幸手,さって,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3022,石井屋欣兵衛,いしいやきんべえ,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3023,ゆめ静,ゆめしずか,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
3255,酒酒酒 Chou Chou Chou,しゅしゅしゅ,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
2533, 初緑,はつみどり,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
2532,豊明,ほうめい,石井酒造,埼玉県,幸手市,埼玉県幸手市南2-6-11
2535,杉戸宿,すぎとじゅく,関口酒造,埼玉県,北葛飾郡,埼玉県北葛飾郡杉戸町清地2-1-16
3419,すぎと七福神,すぎとしちふくじん,関口酒造,埼玉県,北葛飾郡,埼玉県北葛飾郡杉戸町清地2-1-16
2534,豊泉,ほうせん,関口酒造,埼玉県,北葛飾郡,埼玉県北葛飾郡杉戸町清地2-1-16
3020,彩の原石 喜,さいのげんせき よろこび,寒梅酒造,埼玉県,久喜市,埼玉県久喜市久喜中央2-9-27
1185,寒梅,かんばい,寒梅酒造,埼玉県,久喜市,埼玉県久喜市久喜中央2-9-27
3695,I love choco,あいらぶちょこ,寒梅酒造,埼玉県,久喜市,埼玉県久喜市久喜中央2-9-27
1104,釜屋新八,かまやしんぱち,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
3313,加須の舞,かぞのまい,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
3657,かけはし,かけはし,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
482,力士,りきし,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
3415,越ヶ谷宿,こしがやじゅく,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
3323,桶川,おけがわ,釜屋,埼玉県,加須市,埼玉県加須市騎西1162
1394,亀甲花菱,きっこうはなびし,清水酒造,埼玉県,加須市,埼玉県加須市戸室1006
1408,花陽浴,はなあび,南陽醸造,埼玉県,羽生市,埼玉県羽生市上新郷5951
1409,藍の郷,あいのさと,南陽醸造,埼玉県,羽生市,埼玉県羽生市上新郷5951
481,晴菊,はれぎく,東亜酒造,埼玉県,羽生市,埼玉県羽生市西4-1-11
3227,神の泉,かみのいずみ,東亜酒造,埼玉県,羽生市,埼玉県羽生市西4-1-11
486,神亀,しんかめ,神亀酒造,埼玉県,蓮田市,埼玉県蓮田市馬込3-74
3298,仙亀,せんかめ,神亀酒造,埼玉県,蓮田市,埼玉県蓮田市馬込3-74
487,ひこ孫,ひこまご,神亀酒造,埼玉県,蓮田市,埼玉県蓮田市馬込3-74
1576,清龍,せいりゅう,清龍酒造,埼玉県,蓮田市,埼玉県蓮田市閏戸659-3
1369,鏡山,かがみやま,小江戸鏡山酒造,埼玉県,川越市,埼玉県川越市仲町10-13
3102,葵万代,あおいばんだい,日本酒造,埼玉県,比企郡,埼玉県比企郡
3101,万代黒松正宗,ばんだいくろまつまさむね,日本酒造,埼玉県,比企郡,埼玉県比企郡
477,越生梅林,おごせばいりん,佐藤酒造店,埼玉県,入間郡,埼玉県入間郡越生町津久根141-1
3092,あさか野物語,あさかのものがたり,佐藤酒造店,埼玉県,入間郡,埼玉県入間郡越生町津久根141-1
3091,野火止,のびどめ,佐藤酒造店,埼玉県,入間郡,埼玉県入間郡越生町津久根141-1
1603,来陽,らいよう,越生酒造,埼玉県,入間郡,埼玉県入間郡
1088,琵琶のさゝ浪,びわのさざなみ,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
1090,近江屋,おうみや,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
2826,アクアドルチェ,あくあどるちぇ,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
3406,こぶしの里,こぶしのさと,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
1091,大香の蔵,たいこうのくら,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
3405,武蔵野,むさしの,麻原酒造,埼玉県,入間郡,埼玉県入間郡毛呂山町毛呂本郷94
1260,君が旗,きみがはた,長澤酒造,埼玉県,日高市,埼玉県日高市北平沢335
3282,かわせみの里,かわせみのさと,長澤酒造,埼玉県,日高市,埼玉県日高市北平沢335
1261,高麗王,こまおう,長澤酒造,埼玉県,日高市,埼玉県日高市北平沢335
1113,帝松,みかどまつ,松岡醸造,埼玉県,比企郡,埼玉県比企郡小川町下古寺7-2
2983,玉井,たまい,晴雲酒造,埼玉県,比企郡,埼玉県比企郡小川町大塚178-2
2981,金勝山,きんしょうざん,晴雲酒造,埼玉県,比企郡,埼玉県比企郡小川町大塚178-2
1657,晴雲,せいうん,晴雲酒造,埼玉県,比企郡,埼玉県比企郡小川町大塚178-2
2982,無為,むい,晴雲酒造,埼玉県,比企郡,埼玉県比企郡小川町大塚178-2
2528,武蔵鶴,むさしつる,武蔵鶴酒造,埼玉県,比企郡,埼玉県比企郡小川町大塚243
2768,五十嵐,いがらし,五十嵐酒造,埼玉県,飯能市,埼玉県飯能市川寺667-1
1120,天覧山,てんらんざん,五十嵐酒造,埼玉県,飯能市,埼玉県飯能市川寺667-1
478,有馬錦,ありまにしき,有馬錦酒造,埼玉県,飯能市,埼玉県飯能市飯能446-12
2511,直実,なおざね,権田酒造,埼玉県,熊谷市,埼玉県熊谷市三ヶ尻1491
2512,清太喜,きよたき,権田酒造,埼玉県,熊谷市,埼玉県熊谷市三ヶ尻1491
484,日本橋,にほんばし,横田酒造,埼玉県,行田市,埼玉県行田市桜町2-29-3
485,浮城,うきしろ,横田酒造,埼玉県,行田市,埼玉県行田市桜町2-29-3
2920,行田育ち,ぎょうだそだち,横田酒造,埼玉県,行田市,埼玉県行田市桜町2-29-3
483,桝川,ますかわ,川端酒造,埼玉県,行田市,埼玉県行田市佐間2-9-8
476,文楽,ぶんらく,文楽,埼玉県,上尾市,埼玉県上尾市上町2-5-5
3655,AGEO,あげお,文楽,埼玉県,上尾市,埼玉県上尾市上町2-5-5
1357,金大星正宗,きんだいぼしまさむね,丸山酒造,埼玉県,深谷市,埼玉県深谷市横瀬1323
1358,織星,おりほし,丸山酒造,埼玉県,深谷市,埼玉県深谷市横瀬1323
479,東白菊,あずましらぎく,藤橋藤三郎商店,埼玉県,深谷市,埼玉県深谷市仲町4-10
104,菊泉,きくいずみ,滝澤酒造,埼玉県,深谷市,埼玉県深谷市田所町9-20
2510,天仁,てんじん,横関酒造,埼玉県,児玉郡,埼玉県児玉郡美里町猪俣3214-1
102,武甲正宗,ぶこうまさむね,武甲酒造,埼玉県,秩父市,埼玉県秩父市宮側町21-27
3297,升屋,ますや,矢尾本店,埼玉県,秩父市,埼玉県秩父市別所1432
103,秩父錦,ちちぶにしき,矢尾本店,埼玉県,秩父市,埼玉県秩父市別所1432
480,白扇,はくせん,藤崎摠兵衛商店,埼玉県,大里郡,埼玉県大里郡寄居町寄居925-2
1523,秩父次郎,ちちぶじろう,秩父菊水酒造,埼玉県,秩父市,埼玉県秩父市下吉田3786-1
1522,秩父太郎,ちちぶたろう,秩父菊水酒造,埼玉県,秩父市,埼玉県秩父市下吉田3786-1
1521,秩父菊水,ちちぶきくすい,秩父菊水酒造,埼玉県,秩父市,埼玉県秩父市下吉田3786-1
