code,meigara,kana,kuramoto,ken,shi,address¥n1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
3196,北吹雪,きたふぶき,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2693,大雪,たいせつ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3,国士無双,こくしむそう,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
150,雪氷室 一夜雫,ゆきひむろ いちやしずく,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2804,気まぐれ,きまぐれ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2,金滴,きんてき,金滴酒造,北海道,樺戸郡,北海道樺戸郡新十津川町中央71-7
9,国稀,,国稀酒造,北海道,増毛郡,北海道増毛郡増毛町稲葉町1-17
3823,上川大雪,かみかわたいせつ,上川大雪酒造,北海道,上川郡,北海道上川郡上川町旭町25番地1http://kamikawa-taisetsu.co.jp/
3661,侍,さむらい,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
8,大雪乃蔵,たいせつのくら,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
7,男山,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目
1237,福司,ふくつかさ,福司酒造,北海道,釧路市,北海道釧路市住吉2-13-23
1452,北の勝,きたのかつ,碓氷勝三郎商店,北海道,根室市,北海道根室市常盤町1-6
1451,北見寒菊,きたみかんぎく,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
1450,栄光摩周,えいこうましゅう,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
3013,Future4,ふゅーちゃーふぉー,Future4,青森県,,
22,南部蔵 富貴,なんぶぐら ふうき,合同酒精 八戸工場,青森県,八戸市,青森県八戸工場〒031-0072 青森県
3331,三戸のどんべり,さんのへのどんべり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
3793,十魂,じゅっこん,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
1614,蔵物語,くらものがたり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3747,がんじゃ自然酒倶楽部,がんじゃしぜんしゅくらぶ,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3664,裏 陸奥八仙,うら むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
161,陸奥男山,むつおとこやま,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
163,陸奥田心,むつでんしん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
164,陸奥山海,むつさんかい,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3366,佐藤企,さとうたくみ,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
158,八甲田おろし,はっこうだおろし,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3756,武士道,ぶしどう,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3577,蒼川,そうせん,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
1397,北勇,きたいさみ,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
1396,関乃井,せきのい,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12
1664,玉垂,たまだれ,中村亀吉,青森県,黒石市,青森県黒石市中町12
2328,津軽娘,つがるむすめ,中村亀吉,青森県,黒石市,青森県黒石市中町12
3784,賜,たまもの,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
19,菊乃井,きくのい,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
3576,稲村屋,いなむらや,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
1267,鬼笑,おにわらい,佐藤酒造,青森県,黒石市,青森県黒石市
1266,初駒,はつこま,佐藤酒造,青森県,黒石市,青森県黒石市
151,卍,まんじ,佐藤酒造店,青森県,弘前市,青森県弘前市鳥井野字宮本31-1
10,掬水,きくすい,佐藤酒造店,青森県,弘前市,青森県弘前市鳥井野字宮本31-1
155,大輪菊盛,だいりんきくもり,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
14,白神ロマンの宴,しらかみろまんのうたげ,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
2067,津軽衆,つがるしゅう,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
2852,西澤,にしざわ,白神酒造,青森県,弘前市,青森県弘前市米ヶ袋村元22
2332,白神,しらかみ,白神酒造,青森県,弘前市,青森県弘前市米ヶ袋村元22
2331,吉野桜,よしのざくら,吉井酒造,青森県,弘前市,青森県弘前市駅前1-6-6
