id,sitecode,sakename,kuramoto,address,is_junmai,seimaibuai,alcohol,nihonsyudo,sando,aminosando,etc1,etc2,etc3,etc4,etc5,etc6,etc7,etc8
324,1474,榮光冨士 純米大吟醸 無濾過生原酒,蔵元：冨士酒造株式会社,蔵元：山形県鶴岡市大山３丁目３２?４８,純米,精米歩合：50%,度数：17度以上18度未満,日本酒度：-1.0,酸度：1.6,アミノ酸度：1.0,原材米：兵庫県産愛山100%,原材料：米（国産）・米こうじ（国産米）,使用酵母：山形酵母,,,,,
325,1480,龍力 生もと仕込み 兵庫県特A地区産 山田錦 生酒,蔵元：株式会社　本田商店,蔵元：兵庫県姫路市網干区高田361-1,純米,精米歩合：65%,度数：18度,None,None,None,原材料：米（国産）・米こうじ（国産米）,,,,,,,
326,1489,るみ子の酒 山廃備前雄町 無濾過生原酒,蔵元：合名会社 森喜酒造場,蔵元：三重県伊賀市千歳41?２,純米,精米歩合：60%,度数：18%,日本酒度：+7,酸数：1.8,アミノ酸：1.4,原材料名：米（国産）、米こうじ（国産米）,原料米：60%精米備前雄町（92%） 60%精米伊賀産山田錦(8%),杜氏：蔵元兼任　酵母　蔵内酵母,,,,,
327,1492,上喜元 特別純米 ぷらす12,蔵元：酒田酒造株式会社,蔵元：山形県酒田市日吉町２丁目３?２５,純米,精米歩合：55%,度数：16度以上17度未満,None,None,None,原材料：米（国産）・米こうじ（国産米）,,,,,,,
328,1495,白鷹 純米吟醸,蔵元：白鷹株式会社,蔵元：兵庫県西宮市浜町1?1,純米,精米歩合：60%,度数：16度以上17度未満,None,None,None,原料：米（国産）・米こうじ（国産米）,使用米：兵庫県特A地区 山田錦100%,,,,,,
329,1498,松の花 純米大吟醸 生原酒,蔵元：川島酒造株式会社,蔵元：滋賀県高島市新旭町旭８３,純米,精米歩合：40%,度数：16度以上17度未満,None,None,None,原料：米（国産）・米こうじ（国産米）,使用米：近江米 山田錦100%,,,,,,
330,1502,神田　純米,蔵元：花の香酒造株式会社,蔵元：熊本県玉名郡和水町西吉地2226-2,純米,None,度数：16度,None,None,None,原料：米（国産）・米こうじ（国産米）,,,,,,,
331,1507,阿櫻　純米大吟醸　無濾過原酒　生酒　別誂,蔵元：阿櫻酒造株式会社,蔵元：秋田県横手市大沢西野６７?２,純米,精米歩合：50%（秋田県産 秋田酒こまち）,度数：16度,None,None,None,原料：米（秋田県産）・米こうじ（秋田県産米）,,,,,,,
332,1512,古伊万里　純米,蔵元：古伊万里酒造有限会社,蔵元：佐賀県伊万里市二里町中里甲３２８８?１,純米,精米歩合：65%,度数：15度,None,None,None,原料：米（国産）・米こうじ（国産米）,,,,,,,
333,1518,越後 雪紅梅 大吟醸 しずく取り,蔵元：長谷川酒造株式会社,蔵元：新潟県長岡市摂田屋2-7-28,非純米,精米歩合：40%,度数：17度,None,None,None,原料：米（国産）・米こうじ（国産米）・醸造アルコール,原料米：山田錦100%使用,,,,,,
334,1522,杵の川　樽酒,蔵元：株式会社杵の川,蔵元：長崎県諌早市土師野尾町17-4,非純米,None,度数：14度,None,None,None,原材料：米・米こうじ・醸造アルコール,,,,,,,
335,1528,香梅 純米吟醸,蔵元：香坂酒造株式会社,蔵元：山形県米沢市中央７丁目３－１０,純米,精米歩合：50%,度数：15度,日本酒度：+4.0,酸度：1.3,None,原材米：出羽燦々100%,原材料：米（国産）・米こうじ（国産米）,酵母：ＫＡ山形酵母,醸造責任者：香坂洋平,,,,
336,1531,美丈夫 純米吟醸,蔵元：有限会社 濵川商店,蔵元：高知県安芸郡田野町2150,純米,精米歩合：55%,度数：15度,None,None,None,原材料：米（国産）・米こうじ（国産米）,,,,,,,
337,1540,賀茂鶴 純米,蔵元：賀茂鶴酒造株式会社,蔵元：広島県東広島市西条本町4-31,純米,精米歩合：65%,度数：14～15度未満,日本酒度：+4,None,None,原材料：米（国産）、米こうじ（国産米）,仕込水：賀茂山系伏流水,,,,,,
338,1545,鶴の友 上白,蔵元：樋木酒造株式会社,蔵元：新潟県新潟市 西区内野町５７７,非純米,None,度数：15度以上16度,None,None,None,原材料：米（国産）・米こうじ（国産米）・醸造アルコール,,,,,,,
339,1551,旭若松 無濾過生原酒,蔵元：那賀酒造有限会社,蔵元：徳島県那賀郡那賀町和食字町３５,純米,精米歩合：70% 自家精米,度数：20度,None,None,None,原材料名：米（国産）、米麹（国産米）原料米は国産100%,使用酵母：10号系,,,,,,
340,1554,コシヒカリの純米酒 おろちの舞,蔵元：旭日酒造有限会社,蔵元：島根県出雲市今市町662,純米,精米歩合：65%,度数：17度以上18度未満,日本酒度：+10,None,None,原材米：出雲産コシヒカリ100%,原材料：米・米こうじ,,,,,,
341,1557,出雲富士 減農薬・減化学肥料　純米,蔵元：富士酒造合資会社,蔵元：島根県出雲市今市町1403/li&gt;,純米,精米歩合：65%,度数：15度,日本酒度：+10,None,None,原材料：米（国産）・米こうじ（国産米）,使用米：佐香錦100%（出雲市野尻地区産契約栽培米）,,,,,,
342,1562,水尾　辛口,蔵元：株式会社田中屋酒造店,蔵元：長野県飯山市大字飯山2227,None,精米歩合：麹米59%　掛米70%,アルコール度数：15度,None,None,None,原料：米、米麹、醸造アルコール,,,,,,,
343,1568,宮の雪　純米,蔵元：株式会社宮崎本店,蔵元：三重県四日市市楠町南五味塚972,None,精米歩合：麹米60%　掛米65%,アルコール度数：15度,None,None,None,原料：米（国産）、米麹（国産米）,,,,,,,
344,1571,播州一献　山廃純米　雄町,蔵元：山陽盃酒造株式会社,蔵元：兵庫県宍粟市山崎町山崎２８,None,精米歩合：65%,アルコール度数：16度,None,None,None,原料：米（国産）、米麹（国産米）,原料米：岡山産雄町100%,,,,,,
345,1575,水尾 一味 辛口純米酒,蔵元：株式会社田中屋酒造店,蔵元：長野県飯山市大字飯山2227,None,精米歩合：麹米59%　掛米70%,アルコール度数：15度,None,None,None,原料：米、米麹,,,,,,,
346,1583,まんさくの花 特別純米酒 ひやおろし,蔵元：日の丸醸造株式会社J,蔵元：秋田県横手市増田町増田七日町１１４?２,None,精米歩合：麹米60%,アルコール度数：16度,None,None,None,原料：米（国産）、米麹（国産米）,原料米：秋田県産吟の精100%,,,,,,
