sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
708,八海山 大吟醸,593,大吟醸,麹米：山田錦、掛米：山田錦・美山錦・他,40,5,1,0.9,-0.03,-1.37,15.5
3033,八海山 越後で候 赤,593,純米吟醸 しぼりたて 原酒,麹米：山田錦、掛米：山田錦・五百万石・他,50,0,1.9,1.3,-0.61,0.55,17.5
704,八海山 純米吟醸,593,純米吟醸,麹米：山田錦、掛米：山田錦・美山錦・五百万石・他,50,4,1.2,1.1,-0.17,-0.95,15.5
7109,八海山 発泡にごり酒,593,発泡 にごり酒,麹米：五百万石、掛米：山田錦・一般米,60,-23,1.6,1.4,1.91,1.05,15
703,八海山 吟醸酒,593,吟醸,麹米：山田錦、掛米：山田錦・五百万石・他,50,5,1,0.9,-0.03,-1.37,15.5
7108,八海山 雪室貯蔵酒,593,純米吟醸 雪室三年貯蔵,麹米：山田錦、掛米：ゆきの精・五百万石,50,-1,1.5,1.3,-0.06,-0.15,17
7107,八海山 特別純米原酒,593,純米酒 原酒,麹米：五百万石、掛米：山田錦・ゆきの精・トドロキワセ・他,55,0,1.7,1.3,-0.38,0.18,17.5
707,八海山 越後で候 青,593,しぼりたて 原酒,麹米：山田錦・五百万石、掛米：こしいぶき・他,60,4,1.7,1.6,-0.75,-0.01,19
706,八海山 特別本醸造,593,特別本醸造,五百万石（麹米）、越路早生等（掛米）,55,4,1,1.2,0.06,-1.32,15.5
705,八海山 清酒,593,普通酒,麹米：五百万石、掛米：一般米,60,5,1,1,-0.03,-1.37,15.5
7110,八海山 貴醸酒,593,貴醸酒,麹米：五百万石、掛米：ゆきの精・他,60,-36,2.5,2.5,2.12,3.36,17.5
6239,越乃八幡川 普通酒,3047,普通酒,新潟県産米,60,,,,,,15
6214,しゃんぽん しらほし 純米吟醸 生酒,3034,純米吟醸 生酒,,60,,,,,,15
8513,おむすび 黒 純米酒,3594,純米酒,五百万石（新潟市産）,70,,,,,,15
2636,越乃寒梅 特醸酒 大吟醸,1169,大吟醸,,30,,,,,,16.5
2630,越乃寒梅 超特撰 大吟醸,1169,大吟醸,山田錦,35,5,,,,,16.5
2635,越乃寒梅 金無垢 純米吟醸酒,1169,純米吟醸,山田錦,45,,,,,,16.5
2633,越乃寒梅 特選 吟醸,1169,吟醸酒,山田錦,52,7.5,1,,-0.26,-1.48,16.5
2634,越乃寒梅 無垢 特別純米酒,1169,純米酒,五百万石,55,3.5,1.3,,-0.24,-0.73,16.5
2632,越乃寒梅 別撰 特別本醸造,1169,特別本醸造,五百万石,55,7,1.3,,-0.57,-0.89,16.5
6897,越乃寒梅 灑,1169,純米吟醸,山田錦、五百万石,55,2,,,,,15
2631,越乃寒梅 白ラベル,1169,本醸造,五百万石,60,5,1.4,,-0.5,-0.61,15.5
5328,Cowboy Yamahai 山廃 純米吟醸 原酒,2191,山廃 純米吟醸 原酒,,,3.6,2,1.2,-1.06,0.58,18.5
5329,Cowboy Yamahai Tender 山廃 純米吟醸,2191,山廃 純米吟醸,,,3.6,1.7,1.2,-0.72,0.01,14.5
5334,もりひかり 純米吟醸,2487,純米吟醸,一本〆（新潟県産）,55,2.7,1.3,0.5,-0.17,-0.7,15.5
5338,願人 山廃 純米吟醸 原酒,2489,山廃 純米吟醸 原酒,越淡麗（新潟県産）,60,3.9,1.9,1.4,-0.98,0.38,18.5
5330,Fisherman Sokujo 速醸 純米吟醸酒,2486,純米吟醸,,,-13.7,2.1,1.2,0.44,1.56,14.5
5335,越 純米吟醸 柔口,2488,純米吟醸 低温長期発酵,亀の尾（新潟県産）,55,-17.7,1.6,1.7,1.4,0.8,16.2
5336,越 純米吟醸,2488,純米吟醸,亀の尾（新潟県産）,55,4,1.7,1.6,-0.75,-0.01,15
5337,越 普通酒,2488,普通酒,山田錦、五百万石,65,6,1.3,0.9,-0.47,-0.85,15.5
5339,千の風 大吟醸,2490,大吟醸,越淡麗,40,3,1.3,1,-0.2,-0.71,17.5
5340,千の風 吟醸,2490,吟醸,山田錦,55,4,1.1,0.9,-0.06,-1.13,16.5
5341,千の風 清酒,2490,,五百万石,68,5,1.2,1,-0.27,-0.99,15.5
