sakecode,sakename,meigaracode,syurui,genryoumai,seimaibuai,nihonsyudo,sando,aminosando,amakardo,noutando,alcohol
3315,京極 原酒,1235,本醸造 原酒,,,4,1.8,,-0.87,0.18,20
3317,京極 名水 純米造り,1235,純米酒,トヨニシキ、キヨニシキ（秋田県産）,55,3,1.4,,-0.31,-0.52,15.5
3318,京極 名水 辛口,1235,本醸造,,,6,1.4,,-0.59,-0.66,15.5
3316,京極 名水 本造り,1235,本醸造,トヨニシキ、キヨニシキ（秋田県産）,60,4,1.8,,-0.87,0.18,15.3
3314,京極 カップ,1235,,,,4,1.8,,-0.87,0.18,15
3323,二世古 原酒 大吟醸,1234,原酒 大吟醸,トヨニシキ、キヨニシキ（秋田県産）,45,3,,,,,17.5
3324,二世古 吟醸酒,1234,吟醸酒,,,,,,,,17.5
3326,二世古 純米 原酒,1234,純米 原酒,,,,,,,,17.5
3321,二世古 蝦夷 鬼ころし 原酒,1234,原酒,,,,,,,,20.5
3319,二世古 純米酒,1234,純米酒,トヨニシキ、キヨニシキ（秋田県産）,55,3,1.4,,-0.31,-0.52,15.5
3325,二世古 上撰,1234,,,,0,1.4,,-0.03,-0.39,15.8
3322,二世古 えぞの誉,1234,活性にごり酒,,,5,1.7,,-0.85,-0.05,15.3
3320,二世古 金印 芳醸,1234,,,,0,1.4,,-0.03,-0.39,15.3
5739,飲ん米 純米酒,2882,純米酒,ふっくりんこ（北海道函館市産）　　　,,15,,,,,15
5447,柴田 純米吟醸,2758,純米吟醸,美山錦,55,4,1.2,,-0.17,-0.95,15.5
5448,柴田 からくち 純米,2758,純米酒,北海道産米,65,6,1.3,,-0.47,-0.85,15.5
5449,柴田 からくち 本醸造,2758,本醸造,北海道産米,70,7,1.2,,-0.45,-1.08,15.5
25,千歳鶴 吉翔,5,大吟醸,山田錦,40,6,1.1,0.8,-0.24,-1.22,16.5
32,千歳鶴 柴田與次右衛門,5,純米吟醸,美山錦,55,4,1.2,1.1,-0.17,-0.95,14.5
458,千歳鶴 北海道の地酒 吟醸,5,,吟風,55,4,1.1,1.2,-0.06,-1.13,15.5
34,千歳鶴 北海道の地酒 純米,5,,吟風,60,4,1.2,1.1,-0.17,-0.95,15.5
459,千歳鶴 芳翔,5,吟醸,美山錦,55,4,1.2,1,-0.17,-0.95,15.5
31,千歳鶴 雪原の舞,5,大吟醸,吟風,40,5,1.2,1.1,-0.27,-0.99,15.5
14,北の錦 三年古酒,6,大吟醸,山田錦,45,4,1.2,1.3,-0.17,-0.95,16.5
13,北の錦 まる田,6,特別純米酒,,55,4,1.6,1.4,-0.64,-0.19,16.5
498,北の錦 鳳紋,6,本醸造,,65,2,,1.3,,,
446,北の錦 煌宙,6,大吟醸,,,5,1.2,1.3,-0.27,-0.99,15.5
12,北の錦 北のろまん,6,特別本醸造,,,13,1.2,1.3,-1,-1.35,15.5
447,北の錦 秘蔵純米酒,6,純米酒,,,3,1.6,1.6,-0.54,-0.15,17.3
448,北の錦 北海278,6,特別純米,初雫（北海278）,55,2,1.3,1.5,-0.1,-0.67,15.5
5484,気まぐれ 吟醸,2804,,キララ397,50,3,1.2,,-0.08,-0.9,
2239,雪氷室 一夜雫 大吟醸原酒,150,大吟醸原酒,山田錦,35,5,1.1,,-0.15,-1.18,17.5
44,雪氷室 一夜雫 大吟醸清酒,150,大吟醸,山田錦,35,5,1.1,0.7,-0.15,-1.18,15.5
2240,雪氷室 一夜雫 大吟醸清酒 やよいしぼり 生詰,150,大吟醸,山田錦,35,5,,,,,15.5
6,国士無双 大吟醸,3,大吟醸,山田錦,50,4,1.1,,-0.06,-1.13,15.2
7,国士無双 烈,3,特別純米,美山錦,58,3,1.3,,-0.2,-0.71,15.2
457,国士無双 純米酒,3,,キヨニシキ,65,3,,,,,15.2
4,金滴 徳富,2,大吟醸,山田錦,40,4,1.2,0.7,-0.17,-0.95,16.5
499,金滴 金冠,2,本醸造,,70,1,,1.4,,,
5,金滴 微笑一献,2,大吟醸,吟風,40,6,1.3,,-0.47,-0.85,16.5
48,国稀 大吟醸,9,大吟醸,山田錦,38,5,1.3,,-0.38,-0.8,15.8
2200,国稀 吟醸原酒,9,吟醸原酒,山田錦,50,4.5,1.5,,,,17.5
2196,国稀 吟醸酒,9,吟醸酒,山田錦,50,4,1.4,,-0.4,-0.57,15.5
2197,国稀 吟醸酒 雪のかおり,9,吟醸酒,ゆきひかり（北海道雨竜郡北竜町産）,50,4,1.5,,-0.52,-0.38,15.5
2202,国稀 手造り,9,,ササニシキ,65,0.5,,,,,19.2
2203,国稀 特別純米酒,9,特別純米酒,五百万石,58,4.5,1.6,,,,15.8
2206,国稀 本醸造 暑寒おろし,9,本醸造,吟風,65,3,1.5,,-0.43,-0.34,15.5
2205,国稀 北海 にごり酒,9,にごり酒,ササニシキ,65,9,1.7,,-1.21,-0.23,19.2
46,国稀 北海 鬼ころし,9,普通酒,ササニシキ,65,9,1.5,,-0.98,-0.61,17.5
2199,国稀 本醸造,9,本醸造,ササニシキ,65,4,1.5,,-0.52,-0.38,15.5
2201,国稀 本醸造 建築物ラベル,9,本醸造,ゆきひかり（北海道雨竜郡北竜町産）,65,5,1.5,,-0.61,-0.43,15.5
45,国稀 上撰,9,普通酒,ササニシキ,65,5,1.5,,-0.61,-0.43,15.8
2204,国稀 佳撰,9,,ササニシキ,60,0,1.6,,-0.27,-0.01,15.5
8,大雪乃蔵 鳳雪,8,大吟醸,,40,4,1.2,,-0.17,-0.95,16
9,大雪乃蔵 純米,8,純米,,60,2,1.4,,-0.22,-0.48,16
10,大雪乃蔵 本醸造,8,本醸造,,60,3,1.4,,-0.31,-0.52,15
11,大雪乃蔵 絹雪,8,純米吟醸,,50,4,1.4,,-0.4,-0.57,16
2826,北の誉 大吟醸 慶福宝,4,大吟醸,山田錦,35,5,1.2,1,-0.27,-0.99,16.5
2,北の誉 天禄,4,大吟醸酒,山田錦,35,5,1.2,1,-0.27,-0.99,16.2
37,北の誉 大吟醸 美禄,4,大吟醸,山田錦,35,5,1.2,1,-0.27,-0.99,16.5
2821,北の誉 大吟醸 極上,4,大吟醸,山田錦,40,5,1.2,1,-0.27,-0.99,15.5
2833,北の誉 純米山卸廃止酛,4,,はなの舞,65,-1,1.5,2.1,-0.06,-0.15,15.5
39,北の誉 純米吟醸酒 雪咲,4,純米吟醸,山田錦,50,1,1.4,1.3,-0.13,-0.43,13.7
2834,北の誉 純米大吟醸酒 鰊御殿,4,純米大吟醸,山田錦,50,0,1.3,1.2,0.08,-0.58,15.5
38,北の誉 純米大吟醸酒 鰊御殿 夏季限定,4,純米大吟醸,山田錦,50,0,1.6,1.4,-0.27,-0.01,17.5
2820,北の誉 季節限定 特別純米 ひやおろし,4,特別純米,,55,-6,1.9,,-0.05,0.83,15.5
41,北の誉 純米吟醸酒 雄冬,4,純米吟醸,美山錦,55,2,1.4,1.3,-0.22,-0.48,15.5
40,北の誉 純米吟醸酒 北の一番蔵,4,純米吟醸酒,美山錦,55,2,1.4,1.3,-0.22,-0.48,15.5
42,北の誉 純米酒 吟心,4,純米酒,はなの舞,60,2,1.5,1.4,-0.34,-0.29,15.4
2837,北の誉 純米原酒 群来 夏季限定,4,純米原酒,,60,2,,,,,18.45
2829,北の誉 純米酒 試される大地 北海道,4,,はなの舞,65,2,,,,,14.5
2839,北の誉 純米 小樽みなとと防波堤,4,純米酒,吟風,60,2,1.5,,-0.34,-0.29,15.5
2841,北の誉 純米 心白,4,純米酒,トヨニシキ,65,2,1.6,,-0.45,-0.1,15
2832,北の誉 純米酒 雪咲,4,純米酒,,60,2,1.4,1.2,-0.22,-0.48,13.5
2840,北の誉 ほしのゆめ100%使用 純米,4,純米酒,ほしのゆめ（北海道産）,55,0,1.7,,-0.38,0.18,15.45
43,北の誉 純米酒 群来,4,純米酒,はなの舞,60,2,1.2,1.3,0.01,-0.85,14.5
2818,北の誉 本醸造 生粋 金ラベル,4,本醸造,はなの舞（山形県産）,65,2,1.3,,-0.1,-0.67,15.5
2823,北の誉 本醸造 生粋 雪清水仕込み,4,本醸造,,,,,,,,
2824,北の誉 辛口本醸造 金ラベル,4,本醸造,,,,,,,,
2831,北の誉 本醸造 生粋,4,,,,2,1.3,,-0.1,-0.67,15.45
2835,北の誉 上撰,4,,,,2,1.4,,-0.22,-0.48,15.5
2828,北の誉 白ラベル,4,,,,4,1.4,,-0.4,-0.57,15.45
2822,北の誉 寒造り 銀ラベル,4,本醸造,はなの舞,,2,,,,,15.5
2827,北の誉 にごり酒 親玉,4,にごり酒,初雫,75,-18,,,,,14.8
2838,北の誉 辛口 銀ラベル,4,,,,8,1.4,,-0.77,-0.75,15.2
2819,北の誉 生一本 KIIPPON,4,純米酒,,60,2,,,,,16.8
2830,北の誉 純米吟醸 生,4,純米吟醸生酒,美山錦,55,2,,,,,13.5
2825,北の誉 かわせみ 生,4,本醸造生酒,はなの舞,65,2,,,,,15.5
2836,北の誉 純米生,4,純米生酒,はなの舞,65,3,,,,,13.7
2742,男山（北海道） 純米大吟醸 誕生祝,7,純米大吟醸,,38,5,,,,,16
23,男山（北海道） 純米大吟醸,7,純米大吟醸,山田錦,38,5,1.3,,-0.38,-0.8,16
19,男山（北海道） 哥麿乃名取酒,7,特別純米酒,美山錦,55,2,1.5,1.3,-0.34,-0.29,16
20,男山（北海道） 國芳乃名取酒,7,特別純米酒,美山錦,55,10,1.5,,-1.07,-0.65,16
2736,男山（北海道） 特別純米酒 木綿屋,7,特別純米酒,美山錦,55,5,1.5,,-0.61,-0.43,
2734,男山（北海道） 超辛口 特別純米酒,7,特別純米酒,美山錦,55,10,1.5,,-1.07,-0.65,16.5
2731,男山（北海道） 特別純米 ひやおろし,7,純米生酒,,60,4,1.6,,-0.64,-0.19,15.5
18,男山（北海道） 生酛 純米,7,特別純米酒,キヨニシキ,60,4,1.6,1.4,-0.64,-0.19,15
21,男山（北海道） 御免酒,7,特別純米原酒,吟の精（秋田産）,60,5,1.8,1.2,-0.96,0.14,15
17,男山（北海道） 生酛 本醸造,7,特別本醸造,トヨニシキ（岩手県産）,60,2,1.5,,-0.34,-0.29,15
445,男山（北海道） 特醸 純米,7,特別純米酒,,58,5,1.5,,-0.61,-0.43,15
2728,男山（北海道） 寒酒,7,特別本醸造,吟の精（秋田県産）,60,-2,1.3,0.8,0.27,-0.49,13
2740,男山（北海道） 上撰,7,本醸造,,,0,1.3,,0.08,-0.58,15
2733,男山（北海道） 秘造り,7,本醸造,,60,0,1.3,,0.08,-0.58,15
444,男山（北海道） 佳撰,7,特別純米酒,,,1,1.3,,-0.01,-0.62,15
22,男山（北海道） 復古酒,7,純米原酒,トヨニシキ（岩手県産）,56,-50,3.4,3.2,2.46,5.72,16
2741,男山（北海道） 特別純米 極上,7,特別純米酒,,55,5,1.5,,-0.61,-0.43,15
2735,男山（北海道） 特別純米,7,特別純米酒,美山錦,52,3,1.5,1.3,-0.43,-0.34,15
2738,男山（北海道） 木桶仕込み 純米原酒,7,純米原酒,,60,-5,,,,,17
2729,男山（北海道） 特別本醸造,7,特別本醸造,美山錦,58,4,1.3,1,-0.29,-0.76,14
2732,男山（北海道） 雪がこい,7,,,55,5,1.4,,-0.5,-0.61,15
2730,男山（北海道） 雪しばれ,7,,美山錦,55,4,,,,,15
2737,男山（北海道） 笹おり,7,特別純米生酒,,55,5,1.4,,-0.5,-0.61,55
2739,男山（北海道） くーる,7,純米生貯蔵酒,,60,4,1.5,,-0.52,-0.38,13
99,南部蔵 富貴 特別純米酒,22,特別純米酒,,60,2,1.4,,-0.22,-0.48,
100,南部蔵 富貴 本醸造 上撰,22,本醸造,,68,2,1.4,,-0.22,-0.48,
98,南部蔵 富貴 純米大吟醸 鳳瑞,22,純米大吟醸,,40,4,1.2,,-0.17,-0.95,
6887,三戸のどんべり 初恋風味,3331,純米酒 にごり酒,青森県産米,65,-60,7.1,,-0.83,13.17,12
6888,三戸のどんべり 純米にごり酒,3331,純米酒 にごり酒,青森県産米,65,-20,1.6,,1.62,0.91,15.5
91,八鶴 大吟醸,21,大吟醸,山田錦,40,4,1.5,,-0.52,-0.38,16
4339,八鶴 純米大吟醸,21,純米大吟醸,山田錦,40,2,1.4,1.6,-0.22,-0.48,16.5
4338,八鶴 純米大吟醸 華想い,21,純米大吟醸,華想い,40,5,1.8,,-0.96,0.14,16
4333,八鶴 海の樹ロマン,21,純米吟醸,山田錦,50,2,1.5,1.8,-0.34,-0.29,14.5
6885,八鶴 純米吟醸,21,純米吟醸,華吹雪（青森県産）,50,2,1.7,,-0.57,0.09,15.5
4334,八鶴 SAKE8,21,山廃純米,華吹雪,60,3,1.6,,-0.54,-0.15,15.5
4337,八鶴 純米吟醸 無ろ過生 はちつる,21,純米吟醸 無ろ過生,華想い,50,4,1.8,,-0.87,0.18,17.5
6886,八鶴 濃醇超辛 純米酒 剛酒,21,純米酒,青森県産米,65,9,2.3,,-1.91,0.9,15
90,八鶴 純米酒,21,純米酒,青森県産酒造好適米,60,1.5,1.6,,-0.41,-0.08,15.5
4340,八鶴 本醸造,21,本醸造,青森県産米,65,-1,1.2,,0.29,-0.72,15
4335,八鶴 金撰,21,普通酒,青森県産米,70,1.5,1.3,,-0.06,-0.64,15.5
4336,八鶴 銀撰,21,普通酒,青森県産米,75,3,1.3,,-0.2,-0.71,15.5
106,陸奥山海 普通酒,164,普通酒,,70,3,1.4,,-0.31,-0.52,
105,陸奥田心 純米吟醸,163,純米吟醸,むつほまれ（青森県産）,60,0,1.6,,-0.27,-0.01,15.5
503,陸奥八仙 大吟醸,24,大吟醸,華想い,50,1,1.4,,-0.13,-0.43,16
504,陸奥八仙 純米大吟醸,24,純米大吟醸,美山錦,50,3,,1.4,,,15.5
8265,陸奥八仙 純米吟醸 黒ラベル,24,純米吟醸,華吹雪,55,1,1.6,,-0.36,-0.06,16
2871,陸奥八仙 芳醇超辛,24,純米 無濾過 生原酒,まっしぐら,65,8,2.2,,-1.7,0.75,18
8264,陸奥八仙 吟醸酒 ピンクラベル,24,吟醸酒,麹米：華吹雪、掛米：まっしぐら,38,-1,1.5,,-0.06,-0.15,16
8266,陸奥八仙 特別純米酒 赤ラベル,24,特別純米酒,麹米：華吹雪、掛米：まっしぐら,38,3,1.7,,-0.66,0.04,16
8267,陸奥八仙  吟醸 あらばしり シルバーラベル,24, 吟醸 あらばしり 無濾過 生原酒,麹米：華吹雪、掛米：まっしぐら,38,-1,1.6,,-0.17,0.03,18
502,陸奥八仙 特別純米酒 青ラベル,24,特別純米酒 無濾過 生原酒 ふな酒,まっしぐら,60,2,2,,-0.92,0.65,17
2872,陸奥八仙 特別純米酒 ひやおろし 緑ラベル,24,特別純米酒 無濾過 原酒,麹米：華吹雪、掛米：まっしぐら,38,3,1.7,,-0.66,0.04,17
8263,陸奥八仙 特別純米酒,24,特別純米酒,まっしぐら,60,3,1.4,,-0.31,-0.52,15
7622,陸奥八仙 特別純米酒 いさり火ラベル,24,特別純米酒,華吹雪,60,6,1.6,,-0.82,-0.28,16
8268,陸奥八仙 どぶろっく,24,純米 活性にごり,まっしぐら,69,-12,1.9,,0.51,1.1,16
104,陸奥八仙 純米酒,24,純米酒,華吹雪・むつほまれ,60,4,1.4,,-0.4,-0.57,15.5
8837,裏 陸奥八仙 純米大吟醸,3664,純米大吟醸,華想い,50,,,,,,16
8838,裏 陸奥八仙 隠し酒 純米大吟醸,3664,純米大吟醸,,50,,,,,,16
8839,裏 陸奥八仙 純米吟醸 おりがらみ,3664,純米吟醸 無濾過 生原酒 おりがらみ,華吹雪,55,,,,,,17.5
6982,陸奥男山 超辛純米 裏男山,161,純米酒 無濾過 生原酒,まっしぐら,65,13,2,,-1.93,0.15,18
94,陸奥男山 超辛純米酒,161,純米酒,,,15,1.9,,-1.99,-0.12,15.4
95,陸奥男山 生一本,161,純米 無濾過 生原酒,むつほまれ,78,6,2.2,,-1.52,0.84,18
6980,陸奥男山 CLASSIC ヌーボー 生,161,,まっしぐら,70,5,1.3,,-0.38,-0.8,15
6981,陸奥男山 金の生,161,普通酒,まっしぐら,69,6,1.5,,-0.71,-0.47,16
7038,稲生 純米大吟醸 華想い 45,3404,純米大吟醸,華想い,45,,,,,,16
7037,稲生 純米吟醸 山田錦,3404,純米吟醸,山田錦,58,,,,,,
7036,稲生 純米吟醸 華想い 50,3404,純米吟醸,華想い,50,,,,,,15
7039,稲生 特別純米酒 華吹雪 55,3404,特別純米酒,華吹雪,55,,,,,,15
7035,稲生 冷やおろし,3404,純米酒,華吹雪,60,,,,,,15
7041,稲生 夏純,3404,特別純米酒,華吹雪,60,,,,,,15
7040,稲生 特別純米酒 しぼりたて 生酒,3404,特別純米酒,華吹雪,55,,,,,,16
87,八甲田おろし 吟醸,158,吟醸,,50,4,1.3,,-0.29,-0.76,
88,八甲田おろし 純米,158,純米,,60,3,1.4,,-0.31,-0.52,
89,八甲田おろし 本醸造,158,本醸造,,60,5,1.3,,-0.38,-0.8,
8357,蒼川 純米吟醸,3577,純米吟醸,,,,,,,,
8355,蒼川 秀麗純米,3577,純米酒,,55,,,,,,
8356,蒼川 特別純米 冷やおろし,3577,特別純米酒 ひやおろし,,,,,,,,
6952,鳩正宗 純米大吟醸 吟麗,20,純米大吟醸,山田錦,35,1.5,1.5,,,,16
86,鳩正宗 大吟醸 吟麗,20,大吟醸,山田錦,35,3,1.3,,-0.2,-0.71,17
6953,鳩正宗 純米大吟醸 山田錦 48,20,純米大吟醸,山田錦（兵庫県産）,48,-0.5,1.6,,-0.22,0.01,15
6954,鳩正宗 Crystal of snow,20,特別純米酒 白麹仕込,華吹雪,55,-2,2.2,,-0.78,1.21,14
6955,鳩正宗 白ラベル,20,普通酒,まっしぐら,70,1,1.4,,-0.13,-0.43,15
6956,鳩正宗 青ラベル,20,普通酒,まっしぐら,70,0,1.4,,-0.03,-0.39,15
8178,玉垂 大吟醸,1664,大吟醸,山田錦,40,4,1.4,,-0.4,-0.57,15.5
8179,玉垂 あどはだり,1664,純米酒  生 原酒,,,,,,,,
8180,玉垂 上撰,1664,,,,,,,,,15.5
8171,亀吉 大吟醸 斗瓶取り,1665,大吟醸 斗瓶取り 無濾過 無調整,山田錦,40,3,1.3,,-0.2,-0.71,18.5
8173,亀吉 純米大吟醸 亀の尾,1665,純米大吟醸,亀の尾,50,,,,,,15.5
8172,亀吉 純米吟醸 亀の尾,1665,純米吟醸,亀の尾,60,0,,,,,15.5
8169,亀吉 吟醸,1665,吟醸,華想い,55,3,1.4,,-0.31,-0.52,16.5
8170,亀吉 純米吟醸,1665,純米吟醸,華吹雪,55,4,1.6,,-0.64,-0.19,15.5
8168,亀吉 特別純米酒,1665,特別純米酒,華吹雪、むつほまれ,60,5,1.4,,-0.5,-0.61,15.5
82,菊乃井 大吟醸,19,大吟醸,,40,5,1.4,,-0.5,-0.61,
83,菊乃井 純米吟醸,19,純米吟醸,,50,5.5,1.6,,-0.78,-0.26,
84,菊乃井 特別純米酒 華吹雪,19,純米吟醸,,50,5.5,1.6,,-0.78,-0.26,
85,菊乃井 こみせ,19,純米大吟醸,,50,3.5,1.6,,-0.59,-0.17,
8354,稲村屋 稲村屋文四郎,3576,純米大吟醸,山田錦,40,,,,,,
8352,稲村屋 純米吟醸,3576,純米吟醸,華想い,50,,,,,,16
8353,稲村屋 特別純米酒,3576,特別純米酒,,60,,,,,,16
3611,初駒 純米吟醸 無濾過 生原酒,1266,純米吟醸,雄町（岡山県産）,50,4,1.7,1.2,-0.75,-0.01,17.4
3610,初駒 純米 無濾過 生原酒,1266,純米 生原酒,華吹雪,60,4,1.8,,-0.87,0.18,18.4
52,卍 純米,151,純米,,,4,1.4,,-0.4,-0.57,
51,掬水 大吟醸,10,大吟醸,,35,4,1.2,,-0.17,-0.95,
50,掬水 大吉,10,本醸造,,,2,1.3,,-0.1,-0.67,
49,掬水 上撰,10,普通酒,,,2,1.4,,-0.22,-0.48,
65,大輪菊盛 津軽タコ絵,155,純米吟醸,華吹雪,60,3.5,1.6,,-0.59,-0.17,15.3
473,大輪菊盛 原酒,155,,むつほまれ,65,-9,,2.1,,,21.9
474,大輪菊盛 辛口酒,155,,麹米 華吹雪、掛米 むつほまれ,60,4,,1.4,,,15.5
64,白神ロマンの宴 純米吟醸,14,純米吟醸,華吹雪,55,2.5,1.5,,,,15.5
5268,津軽衆 純米吟醸,2067,純米吟醸,,,,,,,,
5269,津軽衆 本醸造,2067,本醸造,,,,,,,,
5708,西澤 山廃純米 原酒,2852,山廃純米 原酒,青森県産米,65,2,,,,,18
500,津軽海峡 純米吟醸酒,154,純米吟醸,華吹雪,60,3,,1.6,,,15.5
5441,龍飛 特別純米酒,2757,特別純米酒,華吹雪（青森県産）,55,0,1.3,,0.08,-0.58,15.5
8175,荒馬 特別純米酒 今別荒馬,3569,特別純米酒,華吹雪（青森県産）,,,,,,,
8176,荒馬 本醸造 大川平荒馬,3569,本醸造,華吹雪（青森県産）,,,,,,,
8177,荒馬 純米大吟醸,3569,純米大吟醸,華吹雪（青森県産）,,,,,,,
62,じょっぱり 大吟醸,13,大吟醸,華吹雪,40,3,1.2,,-0.08,-0.9,15.5
60,じょっぱり 純米吟醸,13,純米吟醸,華吹雪,60,2.5,1.6,,-0.5,-0.13,15.5
63,じょっぱり 吟醸 みつをボトル,13,吟醸,華吹雪,50,5,1.1,,-0.15,-1.18,15.5
61,じょっぱり 吟醸,13,吟醸,華吹雪,60,5,1.1,,-0.15,-1.18,15.5
59,じょっぱり 純米酒,13,純米酒,むつほまれ,65,3,1.6,2,-0.54,-0.15,15.5
58,じょっぱり 本醸造,13,本醸造,むつほまれ,70,8,1.3,,-0.66,-0.94,15.5
8166,蟹田 純米吟醸 原酒,3566,純米吟醸 原酒,まっしぐら（青森県蟹田産） ,55,,,,,,17.5
8167,蟹田 純米吟醸,3566,純米吟醸,ゆめあかり（青森県蟹田産）,55,2.5,1.6,,,,15.5
1328,豊盃 つるし酒 大吟醸,1098,大吟醸,山田錦,40,3,1.5,1.4,-0.43,-0.34,16.5
1331,豊盃 純米吟醸 亀翔,1098,純米吟醸,亀の尾,55,3,1.3,1.3,-0.2,-0.71,17.5
1332,豊盃 純米大吟醸 おまちどう,1098,純米大吟醸,雄町米,50,0,1.9,1,-0.61,0.55,
1329,豊盃 大吟醸,1098,大吟醸,山田錦,40,4,1.5,1.4,-0.52,-0.38,15.5
1333,豊盃 純米大吟醸 いまが花よ,1098,純米大吟醸,華吹雪,40,1,1.5,1.3,-0.24,-0.25,15.5
1330,豊盃 吟醸酒,1098,吟醸酒,豊盃米,50,4,1.2,1.4,-0.17,-0.95,15.5
1326,豊盃 純米吟醸 美郷錦55,1098,純米吟醸,美郷錦,55,0.5,1.9,1.2,,,
1325,豊盃 純米吟醸 華想い55,1098,純米吟醸,華想い,55,-5,1.9,,-0.15,0.78,15.5
1327,豊盃 純米吟醸 豊盃米55,1098,純米吟醸,豊盃米,55,0,1.9,,-0.61,0.55,15.5
1324,豊盃 純米しぼりたて,1098,,華吹雪,55,3,1.4,,-0.31,-0.52,17.5
1323,豊盃 特別純米酒,1098,特別純米酒,華吹雪,38,3,1.5,1.6,-0.43,-0.34,15.5
1334,豊盃 特別純米酒 ひやおろし,1098,特別純米酒,豊盃米,38,-1,2.2,,-0.87,1.16,16.5
1321,豊盃 かんして美味しいお酒,1098,,華吹雪,60,5,1.4,1.3,-0.5,-0.61,15.5
1322,豊盃 特別本醸造,1098,特別本醸造,豊盃米,58,4,1.5,1.5,-0.52,-0.38,15.5
1335,豊盃 ん おりがらみ,1098,,華吹雪、むつほまれ,42,4,1.5,,-0.52,-0.38,15.5
1320,豊盃 ん,1098,特別本醸造,華吹雪、むつほまれ,42,4,1.5,1.4,-0.52,-0.38,16.5
57,北のまほろば 特別純米酒,153,特別純米酒,,60,3.5,1.55,,,,
56,松緑 麗峰,12,大吟醸,,50,3.5,1.05,,,,
73,明ケ烏 太宰の里,17,冷おろし原酒,,70,-4,1.6,,0.11,0.17,
74,明ケ烏 純白の夢模様,17,活性清酒（にごり原酒）,,70,-5,2,,-0.26,0.97,
72,明ケ烏 津軽七雪,17,純米酒,,60,4,1.6,,-0.64,-0.19,
654,田酒 純米大吟醸 斗壜取,11,純米大吟醸,山田錦,40,2,1.3,,-0.1,-0.67,16.8
655,田酒 純米大吟醸 山廃,11,純米大吟醸,山田錦,40,2,1.4,,-0.22,-0.48,16.8
53,田酒 純米大吟醸,11,純米大吟醸,山田錦,40,2,1.3,,-0.1,-0.67,16.8
9080,田酒 純米吟醸 彗星,11,純米吟醸,彗星（北海道産）,,,,,,,16.5
657,田酒 純米吟醸,11,純米吟醸,山田錦,32,3,1.5,,-0.43,-0.34,16.8
656,田酒 純米大吟醸 百四拾,11,純米大吟醸,華想い（青森県産）,40,1,1.3,,-0.01,-0.62,16.5
658,田酒 純米吟醸 古城乃錦,11,純米吟醸,古城錦（青森県産）,50,3,1.5,,-0.43,-0.34,15.6
659,田酒 特別純米酒 山廃仕込,11,山廃純米酒,華吹雪,55,3,1.6,,-0.54,-0.15,15.6
54,田酒 特別純米酒,11,特別純米酒,華吹雪（青森県産）,55,3,1.5,,-0.43,-0.34,15.6
1383,善知鳥 山田錦,3533,大吟醸,山田錦,40,3,1.3,,-0.2,-0.71,16.5
7751,善知鳥 百四拾,3533,大吟醸,華想い,,,,,,,
7752,善知鳥 山田穂,3533,大吟醸,山田穂,40,,,,,,16.5
4120,外ヶ濱 澄熟吟醸,1538,熟成吟醸,華吹雪,50,3,1.3,,-0.2,-0.71,15.5
4667,外ヶ濱 特別純米生原酒 にごり酒,1538,特別純米酒 生原酒,華吹雪,55,,,,,,18.5
4666,外ヶ濱 FLOWER SNOW,1538,特別純米酒 生酒,華吹雪,,,,,,,
1382,喜久泉 大吟醸 斗壜取,152,大吟醸,山田錦,40,3,1.3,,-0.2,-0.71,16.5
1384,喜久泉 大吟醸,152,大吟醸,山田錦,40,3,1.3,,-0.2,-0.71,16.5
55,喜久泉 吟醸,152,吟醸,華吹雪,50,3,1.3,,-0.2,-0.71,15.5
1385,喜久泉 特別本醸造,152,特別本醸造,華吹雪,60,1,1.4,,-0.13,-0.43,15.5
1386,喜久泉 特別本醸造 生貯蔵,152,特別本醸造,華吹雪,60,3,1.4,,-0.31,-0.52,14.5
71,白神のしずく 純米大吟醸,156,,,50,5,1.3,,-0.38,-0.8,
8174,白神山地の湧き水で仕込んだお酒 本醸造,3568,本醸造,むつほまれ,70,4,1,,0.06,-1.32,14.8
70,安東水軍 大吟醸,16,大吟醸,五百万石,50,5,1.1,,-0.15,-1.18,15.8
501,安東水軍 神の座,16,吟醸酒,五百万石,55,3,,1.2,,,15.7
69,安東水軍 特別純米酒,16,特別純米酒,華吹雪・むつほまれ,60,3.5,1.5,,-0.47,-0.36,15.3
68,岩木正宗 熟,15,純米吟醸古酒,山田錦,50,2,1.4,,-0.22,-0.48,15.5
66,岩木正宗 奥津軽,15,純米大吟醸,山田錦,50,3,1.3,,-0.2,-0.71,15.5
93,稲川（青森県） 米のしずく,160,純米,華吹雪,60,4,1.4,,-0.4,-0.57,
92,稲川（青森県） 臥牛おろし,160,本醸造,むつほまれ,60,3,1.4,,-0.31,-0.52,
97,菊駒（旧） 大吟醸,162,大吟醸,雄町,40,5,1.4,1,-0.5,-0.61,16.5
1308,菊駒（旧） 大吟醸 青い森の華想い,162,大吟醸,華想い,50,3,1.4,1.4,-0.31,-0.52,16.5
1313,菊駒（旧） 純米大吟醸,162,純米大吟醸,華想い,50,3,1.6,1.8,-0.54,-0.15,16.5
1309,菊駒（旧） 純米吟醸,162,純米吟醸,山田錦,50,,,,,,16.5
1311,菊駒（旧） 金ラベル純米酒,162,純米酒,華吹雪,60,3,1.3,1.4,-0.2,-0.71,15.5
